City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,current Description
72,Kokorevka,52.5872,34.2778,77.43,63,100,8.48,RU,2021-08-07 15:06:16,overcast clouds
73,Saldanha,-33.0117,17.9442,59.41,68,100,6.55,ZA,2021-08-07 15:06:17,overcast clouds
74,Quelimane,-17.8786,36.8883,73.76,64,1,9.13,MZ,2021-08-07 15:06:17,clear sky
75,Kodiak,57.79,-152.4072,53.11,94,90,0.0,US,2021-08-07 15:06:17,overcast clouds
76,Mataura,-46.1927,168.8643,35.47,98,100,1.92,NZ,2021-08-07 15:06:18,overcast clouds
77,Mbandaka,0.0487,18.2603,80.26,64,67,8.05,CD,2021-08-07 15:06:18,light rain
78,Iqaluit,63.7506,-68.5145,37.89,97,100,13.96,CA,2021-08-07 15:06:19,light rain
79,Tual,-5.6667,132.75,80.64,79,100,20.8,ID,2021-08-07 15:06:19,overcast clouds
80,Katsuura,35.1333,140.3,82.51,89,100,13.02,JP,2021-08-07 15:06:19,light rain
81,Ribeira Grande,38.5167,-28.7,73.8,56,40,11.5,PT,2021-08-07 15:06:20,scattered clouds
82,Bulls,-40.1667,175.3833,51.22,78,29,12.08,NZ,2021-08-07 15:06:20,scattered clouds
83,Jamestown,42.097,-79.2353,80.51,69,1,0.0,US,2021-08-07 15:05:44,clear sky
84,Thompson,55.7435,-97.8558,69.17,48,7,9.37,CA,2021-08-07 15:02:29,clear sky
85,Christchurch,-43.5333,172.6333,41.2,87,75,4.61,NZ,2021-08-07 15:06:21,broken clouds
86,Oistins,13.0667,-59.5333,86.09,66,40,16.11,BB,2021-08-07 15:06:21,scattered clouds
87,Kurilsk,45.2333,147.8833,61.84,97,81,9.75,RU,2021-08-07 15:06:21,broken clouds
88,Jilin,43.0,126.0,66.29,83,0,2.46,CN,2021-08-07 15:06:22,clear sky
89,Fuxin,42.0156,121.6589,73.2,75,1,2.57,CN,2021-08-07 15:05:35,clear sky
90,Coquimbo,-29.9533,-71.3436,58.73,62,75,3.44,CL,2021-08-07 15:06:22,broken clouds
91,East London,-33.0153,27.9116,64.27,69,55,8.48,ZA,2021-08-07 15:06:23,broken clouds
92,Fort Nelson,58.8053,-122.7002,54.07,97,100,15.19,CA,2021-08-07 15:06:23,moderate rain
93,Itarema,-2.9248,-39.9167,90.73,41,17,16.26,BR,2021-08-07 15:06:23,few clouds
